Actual,ANN,LSTM
184.0,190.3384,179.40509
200.0,206.59044,193.49771
229.33333333333334,236.6701,226.6343
324.0,312.14597,325.20468
408.0,393.1543,411.40222
440.0,426.20782,445.31967
444.0,421.7848,462.97226
480.0,447.6835,485.06104
474.6666666666667,458.09894,479.99738
450.6666666666667,461.08035,464.60056
486.0,467.92545,487.45068
482.66666666666674,450.90405,487.1282
480.0,453.4448,487.4102
414.0,403.6859,423.5666
304.0,312.51636,307.99725
258.6666666666667,265.8924,256.1348
220.0,238.70421,217.53781
200.0,221.92537,198.36784
184.0,193.82004,184.36415
188.0,182.19626,184.43253
182.0,192.56946,177.52046
188.0,197.11267,182.98146
173.33333333333334,193.17937,168.88089
174.0,186.30515,170.12213
173.33333333333334,183.56126,169.09702
189.33333333333334,205.40758,185.58461
232.0,234.89154,228.81903
314.6666666666667,309.8923,314.55405
406.0,398.604,410.89792
485.3333333333333,449.86453,481.23477
492.0,449.59708,489.67737
488.0,462.68185,495.12476
456.0,455.65137,466.64676
486.0,471.4826,488.21915
498.0,477.89487,505.39066
492.0,464.73618,498.4016
480.0,460.37967,487.39297
422.0,408.85535,427.6374
321.6,315.084,322.5251
256.0,263.38882,253.93385
234.0,242.4564,232.89389
212.0,224.85406,208.21669
192.0,195.1281,188.07126
192.0,191.47098,186.83127
180.0,188.67702,174.3799
180.0,191.1274,176.31201
174.0,189.70828,166.7791
170.66666666666666,182.27533,163.8849
171.2,178.42815,165.68216
188.0,200.38309,182.5792
222.0,227.25117,220.5881
328.0,318.7289,329.77292
409.6,402.96,413.09
464.0,455.44547,476.01825
461.3333333333333,448.25955,475.44122
506.0,477.97144,511.354
505.6,479.32254,496.66565
496.0,486.51584,502.68265
482.0,479.83606,498.53394
498.0,473.81543,505.62607
504.0,476.50055,508.14856
472.0,434.30698,460.65503
398.4,345.77444,357.04416
294.4,282.5195,281.3783
236.0,246.21484,234.1941
212.0,227.01172,209.98103
202.66666666666666,202.18105,197.81793
180.0,183.85043,174.63843
186.0,190.7999,195.4756
188.0,194.98204,192.93977
173.33333333333334,182.68503,180.28918
164.0,173.95773,172.97948
176.0,184.49916,181.7196
180.0,193.96227,194.67085
206.4,212.87672,220.29765
290.6666666666667,308.54028,304.75433
364.8,381.63068,371.44217
404.8,428.34845,413.88333
400.0,436.8164,418.68692
413.3333333333333,460.14523,443.17004
420.0,450.35248,444.6769
445.3333333333333,449.7476,452.96786
414.4,448.26138,425.93472
428.0,458.62723,442.82526
444.0,461.43884,455.34476
389.3333333333333,416.7191,404.922
