Actual,ANN,LSTM
614.7,587.165,595.3141
482.4,463.4986,470.79065
355.5,347.64734,350.59122
298.8,290.33618,293.7719
243.89999999999998,238.38931,237.43187
223.20000000000002,218.68556,209.82784
207.0,193.48254,188.29942
202.79999999999998,191.85992,178.76303
197.28,196.21648,193.03932
201.6,203.15404,196.6247
195.6,197.85982,187.3755
193.20000000000002,194.25346,182.3025
215.1,218.33823,210.60268
231.6,227.64526,226.97118
293.4,296.41315,290.68872
394.2,395.53064,394.79922
502.2,500.01172,508.1133
578.7,577.54614,585.9462
620.1,618.8327,628.71735
668.7,660.562,675.62854
661.5,647.7224,669.16364
637.2,636.481,651.5121
645.3,643.6505,654.4059
642.6,643.3366,651.8338
609.3,607.6697,616.4371
473.4,472.153,474.35165
337.5,340.52963,335.81332
285.59999999999997,284.05276,284.07092
246.6,249.91957,245.51584
225.6,225.35107,219.64911
201.6,204.00717,198.8592
202.79999999999998,202.83836,192.8213
199.8,200.64685,201.0488
205.2,209.03543,205.63512
192.6,198.04347,192.23465
194.4,198.47586,192.69356
208.79999999999998,211.88031,210.3096
223.2,225.75885,225.60631
297.9,298.49396,298.68683
382.5,383.63635,382.14532
498.6,498.53818,499.26654
585.0,578.73553,581.89276
656.1,641.77234,641.79694
640.8,643.07904,649.33545
679.1999999999999,666.1297,671.9283
663.6,649.77167,656.2709
647.1,641.6979,646.00116
630.9,629.5864,633.4657
577.8,582.4416,587.17035
473.4,470.4772,472.68973
363.6,363.1707,362.16724
297.9,298.54022,297.34988
236.7,240.37022,240.22868
216.0,216.9712,217.61972
204.3,208.93507,206.04327
210.0,211.75244,209.16217
207.0,220.32843,199.5924
200.4,223.50404,193.06073
199.8,220.87367,191.02432
199.20000000000002,236.43782,186.57547
198.0,222.86818,190.68234
225.0,239.0446,216.89595
295.2,311.09518,292.01422
399.6,396.9057,400.28403
512.1,502.30826,517.93695
621.0,574.58374,624.3718
668.7,627.4484,677.9068
678.0,605.64294,682.16626
655.2,617.9482,677.9455
671.4,616.3161,681.28845
657.9000000000001,622.90704,669.2869
651.6,628.7504,662.0715
631.8,593.89514,630.09607
504.9,483.5252,507.73764
389.7,391.22952,389.53574
320.4,315.53235,317.20914
249.3,255.94614,244.22932
232.2,243.23462,224.09277
214.2,238.6135,206.49599
205.2,221.072,197.44647
205.2,226.9913,222.72371
202.79999999999998,235.11575,228.1616
198.0,228.95027,240.21793
196.2,245.37859,266.8874
199.20000000000002,229.74617,226.00076
204.3,240.82143,249.74991
243.9,288.50107,294.30597
301.5,365.49896,369.02084
383.4,454.07657,432.41913
441.0,527.6746,494.94833
528.3,559.35864,528.2162
512.0999999999999,548.0914,539.1151
498.6,560.9768,511.9859
502.8,544.61694,514.66266
524.4,552.6049,531.3392
510.3,555.44836,518.2325
379.8,527.6421,494.74094
334.8,441.14908,446.3205
303.3,353.37256,355.0164
270.0,301.33392,299.94452
234.0,253.44267,257.92667
216.9,230.74998,249.5437
203.4,238.92592,238.5131
190.79999999999998,224.28262,245.71541
192.6,215.94235,185.00305
189.9,220.30765,201.08897
183.6,229.12979,238.31499
188.4,224.76071,272.06415
183.6,224.12097,181.20326
178.2,233.46104,203.49574
184.79999999999998,264.87518,286.9135
205.2,330.72662,327.3824
208.8,400.32648,391.79364
200.7,463.59653,424.80063
199.8,482.53616,425.64578
174.60000000000002,489.2038,497.81775
189.6,511.6031,419.76132
191.7,480.69528,420.31946
205.2,484.6122,445.6746
207.9,469.47418,437.53043
215.1,460.53427,406.55078
224.4,388.33658,403.26572
226.08,308.6083,301.50256
222.0,280.9346,250.52403
199.8,247.34665,242.57112
196.2,215.45631,208.96475
189.9,222.592,221.64606
186.0,215.45844,200.12775
185.39999999999998,210.09892,187.49838
183.6,215.27075,186.7384
174.0,227.40152,246.73492
177.6,214.63867,276.9476
182.7,207.95625,175.70732
211.20000000000002,232.68314,199.04852
250.2,257.7772,285.61136
240.0,319.2245,304.56842
228.24,369.51877,348.6115
210.60000000000002,416.19492,370.41608
233.1,426.29333,347.6567
236.7,434.04092,456.8736
242.4,471.2714,338.9815
252.0,431.08487,329.16904
240.0,435.12277,387.70682
241.2,415.78714,370.6955
223.20000000000002,425.663,335.41556
246.60000000000002,362.42386,374.12164
243.0,288.14737,257.62064
225.0,273.88403,224.4687
198.0,244.62843,216.67146
189.0,201.04965,195.99567
182.7,212.34758,192.43806
187.2,207.12604,190.33203
177.6,172.37054,145.19112
179.10000000000002,173.88669,130.03539
175.20000000000002,179.092,107.17519
